run_id,timestamp,user_id,task_type,agent_version,resolution_time_seconds,user_accepted,user_rating,abstained,error_occurred,lead_source,crm_stage,opportunity_value,workflow_stage,time_saved_minutes,prompt_version
RUN001,2026-01-01 09:49:27,USR119,lead_summary,B,5.15,True,5,False,False,Inbound - Whitepaper,Closed Lost,0,Pipeline Generation,19.1,v1.0
RUN002,2026-01-01 12:18:13,USR120,risk_analysis,B,6.35,True,3,False,False,Inbound - Demo Request,Technical Validation,188116,Deal Execution,22.8,v1.0
RUN003,2026-01-01 13:19:48,USR112,risk_analysis,B,6.63,False,1,False,True,Event - Summit,Negotiation,105332,Deal Execution,16.5,v1.0
RUN004,2026-01-01 14:16:59,USR124,risk_analysis,B,5.58,True,5,False,False,Partner Referral,Value/Impact,293727,Deal Execution,16.5,v1.1
RUN005,2026-01-02 09:41:27,USR112,follow_up,A,4.09,True,5,False,False,Outbound - Enterprise,MQL,0,Deal Execution,9.9,v1.0
RUN006,2026-01-02 13:25:17,USR121,risk_analysis,A,3.24,False,2,True,False,Event - Summit,Discovery,72999,Deal Execution,20.4,v1.1
RUN007,2026-01-02 16:12:45,USR115,risk_analysis,A,3.28,True,5,False,False,Outbound - Enterprise,SQL,96714,Deal Execution,15.3,v1.0
RUN008,2026-01-05 08:15:12,USR109,lead_summary,A,4.28,True,4,False,False,Inbound - Whitepaper,SAL,0,Pipeline Generation,16.9,v1.0
RUN009,2026-01-05 08:37:30,USR123,risk_analysis,B,5.09,False,1,False,True,Partner Referral,MQL,0,Deal Execution,18.3,v1.0
RUN010,2026-01-05 08:42:14,USR116,data_hygiene,A,3.86,True,3,False,False,Outbound - Enterprise,SAL,8367,Onboarding & Adoption,9.6,v1.1
RUN011,2026-01-05 08:55:07,USR120,lead_summary,A,2.42,True,5,False,False,Inbound - Website,MQL,0,Pipeline Generation,17.2,v1.0
RUN012,2026-01-05 10:09:14,USR124,follow_up,A,2.93,True,5,False,False,Event - Summit,SQL,25789,Deal Execution,11.1,v1.1
RUN013,2026-01-05 10:34:02,USR123,lead_summary,B,5.15,True,5,False,False,PLG - Free Trial,Discovery,18556,Pipeline Generation,10.8,v1.1
RUN014,2026-01-05 11:10:26,USR130,lead_summary,B,5.69,True,4,False,False,Inbound - Website,SQL,68932,Pipeline Generation,15.8,v1.0
RUN015,2026-01-05 11:30:39,USR116,lead_summary,A,3.78,True,5,False,False,Outbound - Cold,Technical Validation,172735,Pipeline Generation,14.0,v1.0
RUN016,2026-01-05 11:58:36,USR122,follow_up,A,2.46,False,2,True,False,PLG - Free Trial,Discovery,15438,Deal Execution,15.0,v1.1
RUN017,2026-01-05 13:39:20,USR111,risk_analysis,A,3.94,True,4,False,False,Event - Workshop,Closed Lost,133210,Deal Execution,16.1,v1.1
RUN018,2026-01-05 14:26:21,USR104,risk_analysis,B,6.49,True,4,False,False,Partner Referral,MQL,10771,Deal Execution,13.8,v1.0
RUN019,2026-01-05 15:01:47,USR118,data_hygiene,A,4.67,True,4,False,False,Event - Workshop,Technical Validation,57059,Onboarding & Adoption,4.4,v1.0
RUN020,2026-01-05 15:14:12,USR103,lead_summary,A,3.41,True,3,False,False,Inbound - Whitepaper,SQL,13584,Pipeline Generation,14.6,v1.1
RUN021,2026-01-05 16:15:17,USR118,lead_summary,B,6.84,True,5,False,False,Event - Summit,Negotiation,297579,Pipeline Generation,10.9,v1.0
RUN022,2026-01-05 16:18:53,USR101,lead_summary,A,3.12,True,4,False,False,Event - Summit,SQL,143100,Pipeline Generation,11.2,v1.0
RUN023,2026-01-05 17:04:43,USR123,lead_summary,A,4.43,True,5,False,False,Partner Referral,SQL,94352,Pipeline Generation,18.4,v1.0
RUN024,2026-01-06 09:24:06,USR102,lead_summary,A,3.49,True,4,False,False,Event - Summit,SQL,49873,Pipeline Generation,13.9,v1.1
RUN025,2026-01-06 11:12:12,USR109,lead_summary,B,7.07,False,2,True,False,Inbound - Whitepaper,MQL,0,Pipeline Generation,17.4,v1.0
RUN026,2026-01-06 12:11:37,USR102,lead_summary,A,4.41,True,5,False,False,Outbound - Enterprise,Technical Validation,285825,Pipeline Generation,18.5,v1.1
RUN027,2026-01-06 14:57:36,USR102,risk_analysis,A,3.37,True,5,False,False,Inbound - Demo Request,Discovery,88503,Deal Execution,23.6,v1.1
RUN028,2026-01-07 13:56:04,USR128,lead_summary,A,4.06,True,4,False,False,Inbound - Whitepaper,MQL,0,Pipeline Generation,8.9,v1.0
RUN029,2026-01-07 15:11:03,USR115,follow_up,A,3.0,True,5,False,False,Event - Workshop,Closed Won,598149,Deal Execution,6.6,v1.0
RUN030,2026-01-07 15:35:10,USR119,data_hygiene,B,4.76,False,2,False,False,Event - Summit,Negotiation,105917,Onboarding & Adoption,4.7,v1.0
RUN031,2026-01-07 17:36:30,USR129,follow_up,A,4.99,True,3,False,False,Inbound - Webinar,Closed Won,545856,Deal Execution,13.3,v1.1
RUN032,2026-01-08 10:50:43,USR115,lead_summary,B,5.51,True,5,False,False,Inbound - Whitepaper,Technical Validation,50668,Pipeline Generation,11.7,v1.1
RUN033,2026-01-08 11:47:35,USR109,lead_summary,A,4.1,True,4,False,False,Outbound - Enterprise,Discovery,81441,Pipeline Generation,18.0,v1.0
RUN034,2026-01-08 11:48:21,USR126,data_hygiene,B,4.63,True,5,False,False,Inbound - Demo Request,MQL,19785,Onboarding & Adoption,9.8,v1.1
RUN035,2026-01-08 14:08:02,USR129,follow_up,A,3.46,True,5,False,False,Outbound - Enterprise,MQL,20323,Deal Execution,5.3,v1.0
RUN036,2026-01-08 15:53:34,USR116,data_hygiene,A,3.91,True,5,False,False,Event - Summit,MQL,0,Onboarding & Adoption,5.1,v1.1
RUN037,2026-01-09 14:01:11,USR116,lead_summary,A,2.91,False,2,False,False,Inbound - Whitepaper,Negotiation,393367,Pipeline Generation,9.2,v1.0
RUN038,2026-01-09 14:21:17,USR121,risk_analysis,B,5.94,True,4,False,False,Outbound - Enterprise,MQL,49936,Deal Execution,18.2,v1.0
RUN039,2026-01-09 15:00:46,USR126,follow_up,A,4.62,True,5,False,False,Inbound - Webinar,MQL,0,Deal Execution,14.9,v1.0
RUN040,2026-01-09 15:24:17,USR128,follow_up,A,4.58,True,4,False,False,Inbound - Whitepaper,Value/Impact,362466,Deal Execution,5.0,v1.1
RUN041,2026-01-09 15:28:16,USR105,data_hygiene,B,5.37,False,1,False,False,PLG - Free Trial,SQL,55677,Onboarding & Adoption,4.9,v1.0
RUN042,2026-01-09 15:35:45,USR130,risk_analysis,A,3.13,True,5,False,False,Partner Referral,SAL,0,Deal Execution,20.9,v1.1
RUN043,2026-01-09 16:46:15,USR103,data_hygiene,A,3.78,True,4,False,False,Event - Workshop,MQL,10294,Onboarding & Adoption,7.3,v1.0
RUN044,2026-01-12 08:04:45,USR104,lead_summary,A,3.44,True,4,False,False,Partner Referral,Technical Validation,81998,Pipeline Generation,17.5,v1.0
RUN045,2026-01-12 08:37:47,USR122,data_hygiene,A,3.4,True,4,False,False,Event - Summit,Value/Impact,213865,Onboarding & Adoption,6.0,v1.1
RUN046,2026-01-12 09:06:42,USR118,lead_summary,B,4.38,True,3,False,False,Outbound - Enterprise,Value/Impact,341698,Pipeline Generation,8.7,v1.1
RUN047,2026-01-12 09:21:01,USR122,follow_up,A,4.83,True,5,False,False,Outbound - Cold,SQL,143015,Deal Execution,7.1,v1.0
RUN048,2026-01-12 09:24:17,USR120,follow_up,B,3.16,True,4,False,False,Event - Summit,Negotiation,452355,Deal Execution,13.2,v1.0
RUN049,2026-01-12 10:30:42,USR124,risk_analysis,A,2.83,True,4,False,False,Outbound - Enterprise,MQL,14388,Deal Execution,11.0,v1.1
RUN050,2026-01-12 10:32:31,USR129,risk_analysis,A,2.47,True,4,False,False,Outbound - Enterprise,Value/Impact,347582,Deal Execution,18.9,v1.1
RUN051,2026-01-12 10:51:44,USR110,lead_summary,A,3.21,True,5,False,False,Partner Referral,MQL,0,Pipeline Generation,13.2,v1.1
RUN052,2026-01-12 10:51:51,USR125,risk_analysis,A,2.93,True,4,False,False,Inbound - Website,SQL,65373,Deal Execution,21.5,v1.0
RUN053,2026-01-12 11:09:01,USR102,lead_summary,A,3.49,True,5,False,False,Outbound - Enterprise,MQL,0,Pipeline Generation,18.3,v1.0
RUN054,2026-01-12 11:32:38,USR120,follow_up,A,3.0,True,4,False,False,Outbound - Cold,MQL,6366,Deal Execution,6.7,v1.0
RUN055,2026-01-12 11:42:06,USR104,follow_up,A,3.15,True,4,False,False,Outbound - Enterprise,SAL,0,Deal Execution,10.1,v1.0
RUN056,2026-01-12 12:02:45,USR125,follow_up,A,3.65,True,5,False,False,Inbound - Demo Request,MQL,0,Deal Execution,11.0,v1.2
RUN057,2026-01-12 12:28:04,USR103,risk_analysis,A,2.88,True,5,False,False,PLG - Free Trial,SQL,92873,Deal Execution,12.3,v1.2
RUN058,2026-01-12 12:29:15,USR128,follow_up,A,2.86,True,4,False,False,Inbound - Webinar,MQL,0,Deal Execution,11.4,v1.2
RUN059,2026-01-12 14:24:57,USR102,lead_summary,A,1.76,True,3,False,False,Inbound - Website,SQL,134683,Pipeline Generation,14.0,v1.1
RUN060,2026-01-12 16:58:06,USR130,follow_up,B,3.76,False,1,False,True,Event - Workshop,Closed Lost,0,Deal Execution,8.6,v1.2
RUN061,2026-01-13 08:05:40,USR130,lead_summary,A,2.35,True,3,False,False,Outbound - Cold,SAL,0,Pipeline Generation,18.2,v1.1
RUN062,2026-01-13 09:29:08,USR121,risk_analysis,A,2.69,True,5,False,False,Event - Summit,MQL,10552,Deal Execution,18.4,v1.1
RUN063,2026-01-13 10:41:44,USR111,risk_analysis,B,6.14,True,5,False,False,Outbound - Enterprise,MQL,0,Deal Execution,24.3,v1.2
RUN064,2026-01-13 14:20:13,USR111,data_hygiene,A,2.35,True,3,False,False,Partner Referral,Negotiation,326054,Onboarding & Adoption,3.3,v1.1
RUN065,2026-01-13 15:51:26,USR120,data_hygiene,A,3.79,True,5,False,False,Inbound - Webinar,SQL,72267,Onboarding & Adoption,9.8,v1.2
RUN066,2026-01-13 16:55:00,USR110,lead_summary,B,5.82,True,4,False,False,Inbound - Website,SQL,125499,Pipeline Generation,13.5,v1.2
RUN067,2026-01-13 17:05:05,USR117,risk_analysis,A,3.78,True,5,False,False,Outbound - Enterprise,Discovery,36893,Deal Execution,20.7,v1.2
RUN068,2026-01-14 08:06:38,USR114,data_hygiene,A,3.95,True,5,False,False,Inbound - Website,Value/Impact,233283,Onboarding & Adoption,9.5,v1.2
RUN069,2026-01-14 09:49:17,USR127,lead_summary,A,4.28,True,5,False,False,Inbound - Whitepaper,MQL,0,Pipeline Generation,11.4,v1.1
RUN070,2026-01-14 09:56:06,USR120,follow_up,B,5.16,False,1,False,True,Inbound - Website,Negotiation,337731,Deal Execution,14.4,v1.2
RUN071,2026-01-14 11:14:08,USR119,follow_up,A,3.42,True,5,False,False,Event - Workshop,Discovery,14308,Deal Execution,11.3,v1.1
RUN072,2026-01-14 14:31:01,USR117,lead_summary,A,3.74,True,4,False,False,Inbound - Demo Request,Discovery,104530,Pipeline Generation,8.8,v1.2
RUN073,2026-01-14 16:31:40,USR122,follow_up,B,7.62,True,4,False,False,Outbound - Enterprise,Value/Impact,230775,Deal Execution,7.4,v1.2
RUN074,2026-01-14 16:55:38,USR123,risk_analysis,B,5.51,True,3,False,False,Inbound - Whitepaper,Negotiation,408970,Deal Execution,17.0,v1.2
RUN075,2026-01-15 14:35:53,USR127,follow_up,A,3.09,True,4,False,False,Outbound - Enterprise,Closed Won,565418,Deal Execution,9.0,v1.1
RUN076,2026-01-15 15:20:59,USR124,follow_up,A,1.63,True,4,False,False,Outbound - Enterprise,SAL,29118,Deal Execution,13.9,v1.2
RUN077,2026-01-15 16:08:12,USR111,follow_up,B,5.91,True,5,False,False,Event - Summit,MQL,0,Deal Execution,10.5,v1.1
RUN078,2026-01-15 16:19:42,USR112,lead_summary,A,4.63,True,5,False,False,Event - Workshop,MQL,0,Pipeline Generation,18.4,v1.1
RUN079,2026-01-15 16:42:40,USR122,risk_analysis,A,3.57,True,4,False,False,Inbound - Whitepaper,Closed Won,174715,Deal Execution,22.7,v1.2
RUN080,2026-01-15 17:13:45,USR125,risk_analysis,A,3.23,True,4,False,False,PLG - Free Trial,MQL,34486,Deal Execution,15.6,v1.1
RUN081,2026-01-16 12:13:42,USR123,lead_summary,A,3.25,False,1,False,False,Partner Referral,MQL,0,Pipeline Generation,17.3,v1.1
RUN082,2026-01-16 13:57:59,USR128,follow_up,B,6.09,False,2,False,False,Event - Workshop,MQL,0,Deal Execution,13.1,v1.1
RUN083,2026-01-16 14:38:32,USR107,data_hygiene,A,2.87,True,4,False,False,Inbound - Whitepaper,Value/Impact,316734,Onboarding & Adoption,4.6,v1.2
RUN084,2026-01-16 15:28:28,USR113,risk_analysis,A,3.3,True,5,False,False,Inbound - Whitepaper,Technical Validation,75201,Deal Execution,11.0,v1.2
RUN085,2026-01-19 08:14:52,USR105,data_hygiene,B,5.47,True,5,False,False,Partner Referral,SQL,57700,Onboarding & Adoption,8.4,v1.2
RUN086,2026-01-19 09:18:27,USR128,follow_up,B,2.98,True,4,False,False,Inbound - Website,SQL,146025,Deal Execution,13.9,v1.1
RUN087,2026-01-19 10:34:49,USR124,lead_summary,A,3.33,True,3,False,False,PLG - Free Trial,MQL,0,Pipeline Generation,15.9,v1.2
RUN088,2026-01-19 10:40:16,USR101,data_hygiene,A,4.61,True,5,False,False,PLG - Free Trial,SAL,18815,Onboarding & Adoption,7.3,v1.2
RUN089,2026-01-19 10:45:13,USR111,follow_up,A,4.38,True,5,False,False,Inbound - Webinar,MQL,32238,Deal Execution,9.6,v1.1
RUN090,2026-01-19 11:42:17,USR115,risk_analysis,A,3.25,True,5,False,False,Outbound - Enterprise,Discovery,37835,Deal Execution,14.8,v1.2
RUN091,2026-01-19 11:43:40,USR106,lead_summary,A,5.33,True,4,False,False,Outbound - Enterprise,Closed Won,352905,Pipeline Generation,10.3,v1.1
RUN092,2026-01-19 12:15:03,USR116,follow_up,A,4.1,True,3,False,False,Inbound - Website,SAL,0,Deal Execution,5.5,v1.2
RUN093,2026-01-19 13:38:16,USR118,follow_up,B,5.17,True,4,False,False,Event - Summit,SQL,115010,Deal Execution,5.5,v1.2
RUN094,2026-01-19 13:57:34,USR113,lead_summary,A,3.6,True,5,False,False,PLG - Free Trial,MQL,0,Pipeline Generation,19.7,v1.1
RUN095,2026-01-19 16:25:43,USR120,follow_up,B,4.76,False,2,True,False,Outbound - Enterprise,Value/Impact,322279,Deal Execution,9.6,v1.2
RUN096,2026-01-19 16:56:55,USR123,data_hygiene,A,3.83,True,4,False,False,PLG - Free Trial,SQL,143618,Onboarding & Adoption,6.7,v1.2
RUN097,2026-01-19 17:12:45,USR126,follow_up,A,3.31,True,4,False,False,Inbound - Webinar,Discovery,79607,Deal Execution,14.7,v1.1
RUN098,2026-01-19 17:29:33,USR123,data_hygiene,A,3.84,True,5,False,False,Event - Summit,MQL,0,Onboarding & Adoption,3.2,v1.1
RUN099,2026-01-20 08:10:24,USR111,lead_summary,A,4.21,True,5,False,False,Inbound - Webinar,Technical Validation,301939,Pipeline Generation,10.5,v1.1
RUN100,2026-01-20 10:42:41,USR109,data_hygiene,A,4.5,False,2,False,False,Outbound - Cold,Technical Validation,130801,Onboarding & Adoption,9.7,v1.1
RUN101,2026-01-20 13:28:57,USR113,follow_up,A,3.31,True,5,False,False,Outbound - Cold,SAL,42583,Deal Execution,14.0,v1.2
RUN102,2026-01-20 13:42:43,USR127,risk_analysis,B,6.15,True,4,False,False,Event - Workshop,Technical Validation,281175,Deal Execution,13.2,v1.2
RUN103,2026-01-20 14:34:47,USR104,follow_up,B,6.28,True,4,False,False,Inbound - Website,MQL,32086,Deal Execution,12.2,v1.2
RUN104,2026-01-20 17:36:42,USR110,risk_analysis,A,4.34,False,1,False,False,Event - Workshop,Discovery,62286,Deal Execution,21.3,v1.2
RUN105,2026-01-21 08:01:05,USR102,lead_summary,A,4.38,True,5,False,False,Inbound - Whitepaper,SQL,56081,Pipeline Generation,19.2,v1.2
RUN106,2026-01-21 11:17:10,USR111,data_hygiene,A,4.06,False,3,False,False,Inbound - Webinar,SAL,0,Onboarding & Adoption,9.5,v1.2
RUN107,2026-01-21 11:59:34,USR106,lead_summary,B,2.37,False,2,False,False,Inbound - Whitepaper,Value/Impact,389888,Pipeline Generation,11.1,v1.2
RUN108,2026-01-21 12:02:00,USR113,lead_summary,A,3.57,True,4,False,False,Event - Summit,Negotiation,320155,Pipeline Generation,11.9,v1.1
RUN109,2026-01-21 13:25:44,USR112,risk_analysis,A,3.23,True,4,False,False,Outbound - Cold,Discovery,12997,Deal Execution,13.9,v1.1
